Sequence,Object,Thread RGB,brand,catalog_number,description,weight,chart,details,Stitches,Sewn path (m),Travel (m),Trims,Stops,Instruction
1,A1 Y · piece 1,#1f2a44,,,Dark navy (any 40 wt),,,,84,0.206873,0.065201,1,0,
2,A1 Y · piece 2,#1f2a44,,,Dark navy (any 40 wt),,,,168,0.460148,0.030686,1,0,
3,A2 Y · piece 1,#1f2a44,,,Dark navy (any 40 wt),,,,169,0.462809,0.034728,1,0,
4,A2 Y · piece 2,#1f2a44,,,Dark navy (any 40 wt),,,,84,0.207789,0.021869,1,0,
5,A3 Y · piece 1,#1f2a44,,,Dark navy (any 40 wt),,,,84,0.206873,0.023675,1,0,
6,A3 Y · piece 2,#1f2a44,,,Dark navy (any 40 wt),,,,176,0.485391,0.030686,1,0,
7,B1 K · piece 1,#1f2a44,,,Dark navy (any 40 wt),,,,114,0.203668,0.089259,1,0,
8,B1 K · piece 2,#1f2a44,,,Dark navy (any 40 wt),,,,74,0.148424,0.022486,1,0,
9,B1 K · piece 3,#1f2a44,,,Dark navy (any 40 wt),,,,68,0.131306,0.017585,1,0,
10,B1 K · piece 4,#1f2a44,,,Dark navy (any 40 wt),,,,140,0.309539,0.036323,1,0,
11,B2 K · piece 1,#1f2a44,,,Dark navy (any 40 wt),,,,103,0.225315,0.042910,1,0,
12,B2 K · piece 2,#1f2a44,,,Dark navy (any 40 wt),,,,74,0.148424,0.022343,1,0,
13,B2 K · piece 3,#1f2a44,,,Dark navy (any 40 wt),,,,68,0.131306,0.017585,1,0,
14,B2 K · piece 4,#1f2a44,,,Dark navy (any 40 wt),,,,145,0.421257,0.035770,1,0,
15,B3 Star · piece 1,#1f2a44,,,Dark navy (any 40 wt),,,,72,0.170600,0.033905,0,0,
16,B3 Star · piece 2,#1f2a44,,,Dark navy (any 40 wt),,,,69,0.162496,0.010321,1,0,
17,B3 Star · piece 3,#1f2a44,,,Dark navy (any 40 wt),,,,80,0.175400,0.020139,1,0,
18,B3 Star · piece 4,#1f2a44,,,Dark navy (any 40 wt),,,,168,0.606990,0.036761,1,0,
19,C1 T · piece 1,#1f2a44,,,Dark navy (any 40 wt),,,,144,0.342240,0.092309,1,0,
20,C1 T · piece 2,#1f2a44,,,Dark navy (any 40 wt),,,,132,0.307576,0.028308,1,0,
21,C2 Leaf · piece 1,#1f2a44,,,Dark navy (any 40 wt),,,,69,0.105950,0.038264,0,0,
22,C2 Leaf · piece 2,#1f2a44,,,Dark navy (any 40 wt),,,,255,0.367226,0.032759,1,0,
23,C3 Star · piece 1,#1f2a44,,,Dark navy (any 40 wt),,,,69,0.162496,0.032948,0,0,
24,C3 Star · piece 2,#1f2a44,,,Dark navy (any 40 wt),,,,69,0.162496,0.010602,1,0,
25,C3 Star · piece 3,#1f2a44,,,Dark navy (any 40 wt),,,,77,0.167296,0.020171,1,0,
26,C3 Star · piece 4,#1f2a44,,,Dark navy (any 40 wt),,,,166,0.589753,0.036761,1,0,
